date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:41:54	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://jonathanbernard222.wixsite.com/robots.txt		(from )
07:41:55	430954/430954	---MCZ	200	added ('OK')	text/html	etag:W/%2278c62e502225e4a3c6a4aefbba82b18b%22	https://jonathanbernard222.wixsite.com/the-great-reog	C:/My%20Web%20Sites/reog/jonathanbernard222.wixsite.com/the-great-reog.html	(from )
07:41:55	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/reog/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:41:55	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/reog/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:41:56	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2001%20Feb%202025%2000:41:55%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/reog/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:41:57	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:41:55%20GMT	https://jonathanbernard222.wixsite.com/s	C:/My%20Web%20Sites/reog/jonathanbernard222.wixsite.com/s.4.delayed	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:41:57	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:41:56%20GMT	https://jonathanbernard222.wixsite.com/t	C:/My%20Web%20Sites/reog/jonathanbernard222.wixsite.com/t.5.delayed	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:41:58	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:41:57%20GMT	https://jonathanbernard222.wixsite.com/	C:/My%20Web%20Sites/reog/jonathanbernard222.wixsite.com/index.html	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:41:59	430716/430716	---MCZ	200	added ('OK')	text/html	etag:W/%224e6c8cb938c1422db19c5f7b338c9247%22	https://jonathanbernard222.wixsite.com/the-great-reog/about-5	C:/My%20Web%20Sites/reog/jonathanbernard222.wixsite.com/the-great-reog/about-5.html	(from https://jonathanbernard222.wixsite.com/the-great-reog)
07:42:00	613081/613081	---MCZ	200	added ('OK')	text/html	etag:W/%2246c301cde493058f525297352f1ff2ea%22	https://jonathanbernard222.wixsite.com/the-great-reog/about-6	C:/My%20Web%20Sites/reog/jonathanbernard222.wixsite.com/the-great-reog/about-6.html	(from https://jonathanbernard222.wixsite.com/the-great-reog)
